Наименование,Цена,Старая цена,Скидка,Ссылка
"Мышь беспроводная Defender Accura MM-935, черный",249 ₽,429 ₽,−41%,https://www.ozon.ru/product/besprovodnaya-opticheskaya-myshdefender-accura-mm-935-black-169864421/?asb=syY14NEaGozX61HS7gKD1NJU94cSdeml%252Fu9u%252FSQ7iwq4NwnjSPOr6wvGwM5ujtLf
SmartBuy microSDHC Сlass 10 32GB карта памяти (с адаптером SD),287 ₽,420 ₽,−31%,https://www.ozon.ru/product/karta-pamyati-smartbuy-micro-sdhc-32gb-class-10-s-adapterom-33396941/?asb=TZiZ%252F8D795CY398Ue6BsEKx3saZJ49h%252BBOeQTxtX3oI%253D
"Игровая мышь проводная Defender Cyber, черный",163 ₽,279 ₽,−41%,https://www.ozon.ru/product/igrovaya-mysh-provodnaya-defender-cyber-chernyy-211098708/?asb=8GYHB%252FHprC%252BvmEQUO94nbV65yUre0m6jK9tRWqfb0iqVWoEQSOCSzZg4zeI04P9o
Wi-Fi роутер Xiaomi Mi Router 4A Giga Version,1 905 ₽,2 790 ₽,−31%,https://www.ozon.ru/product/wi-fi-router-xiaomi-mi-router-4a-giga-version-197002896/?asb=WL8v%252BA8%252FZQS%252FWUhPKWdJ%252F%252BMGU5hBuqw4DsLvIp06ht0%253D
